,Price
43068,184.9297454001356
494,147.1656550980714
47016,156.60425870088588
24732,268.1154307486065
43568,306.26797278657097
47299,334.0111726620387
17150,172.6078799249531
23288,493.4264681671724
38510,202.9317560143081
1274,106.62479788156446
26537,180.3899433194572
10803,150.6321379893782
16904,223.73358348968105
41121,161.5505108362752
25331,310.6846351043063
22904,663.4680966156307
34477,683.8941187435921
4439,138.9637475687203
46790,388.4720566580184
42485,156.64087157786452
7908,144.52952265692275
23713,297.51405254121687
42729,98.1927851682136
810,97.48552949171608
42477,243.144039464148
9294,150.74319902776477
2308,184.4257493028379
40795,149.860893554345
40668,173.0063357725668
18253,347.0919324577861
5218,92.79872518922971
517,236.4492770604364
5795,248.56285055973183
29702,503.3044050894894
46683,283.99130495757663
6482,439.6397235087392
37886,154.53674046711708
21334,546.1087984195301
32337,820.6729424923105
46590,136.97029193838674
20458,790.2349537853665
5388,200.1536062559639
45521,456.95720262721176
29812,263.7710877062168
28969,258.7078717749712
2898,154.19586155180093
37398,236.59785378626705
39562,112.92170294344562
17024,494.84052532833016
22702,128.64836896446295
25903,167.6897387050495
34788,230.21716842203367
15497,348.49906191369604
22910,149.34499870646064
3615,162.39776908115203
22466,255.8856040828806
24778,231.89632870011053
34711,272.62559418398735
27644,433.2180907359063
26922,134.05771537430326
4185,92.5643849741054
9037,501.0750677760119
40587,465.4805601664601
5489,225.7546489166104
11262,92.8232363585092
8124,141.39478358418248
22583,359.3687527928691
17936,300.656660412758
31718,329.9468729611334
42969,427.6062001730063
23020,164.8674710129589
28436,197.7939274206825
19155,387.6641651031895
4540,104.5157359454456
47690,103.0783255031204
29172,336.32023330746256
21723,381.0061384322303
46630,144.91737372320782
30489,359.0735390064312
17819,233.81801125703564
37095,322.8672293269118
44279,179.0849367591705
41234,167.1615271316017
4939,237.1522977058093
5189,145.9939540224498
43226,126.94924368176184
34363,266.5672476465654
5989,138.9438406218726
37522,103.80380146354008
29917,355.5783390809954
26840,216.13866741927137
8341,165.70066373749648
41836,207.60760292708017
40968,266.2894816823697
42916,157.34224861478037
30878,287.3054338708174
6070,761.5146507785043
40553,129.28716713814788
22607,103.2479597356476
38149,172.7725434269282
3500,214.1869566236262
7164,186.4221379197989
21992,181.3306992168207
45448,191.43117593436645
34962,117.20570416627832
26070,345.2574143324161
46392,310.16992730757545
28599,242.0094545967685
44490,233.5585532929652
44615,225.37582119561404
42421,85.33420615809038
509,78.73831228177067
4416,153.02416047617933
46441,240.9835682397214
43820,356.0657424075936
107,82.25341550863544
42161,101.23208566151544
12475,124.07764252479204
37132,228.4151216889159
966,69.59904389192229
14494,200.6861869624477
30364,376.7825519619722
34778,289.8685804828036
36005,212.97418212321745
14921,147.2795497185741
18785,227.72045028142588
24421,206.73110844563607
17836,348.264540337711
4608,111.3116021840508
43656,114.55824936291584
2548,101.00063271858085
26632,704.6261671252852
43660,147.9905547892362
30205,378.8796719172337
24017,203.90884075354543
19961,269.6998123827392
19962,222.32645403377109
40632,298.55282538049704
1516,80.1443535725166
14310,695.3517883160221
15191,275.093808630394
30494,452.0458570230217
27576,558.5738140595969
38275,184.4621607088584
27335,264.3524071591524
42635,238.00060786009865
5941,132.8926850839016
32701,238.8386615714419
37835,168.56428120543333
20361,413.4622168912721
377,158.88266585428727
5652,99.61132962506107
22344,724.1468519955785
33713,370.7242054245503
20404,344.5518474093935
41367,236.1302690949898
19358,148.92120075046904
31140,127.9243172709479
33153,408.938391275981
24445,584.444601237094
46043,209.89645419909772
2867,69.59904389192229
42361,527.6693241063288
11478,104.33801757766602
29898,405.4431913505453
10385,179.4895765167804
38331,126.71545133612324
34545,184.5465560630068
46503,194.70350372811632
28137,142.28932947623414
36831,247.81988637692
22001,492.25052329546793
11342,121.72768717394368
46571,115.93389897856626
20333,453.44434252922224
35383,800.6337962531458
26054,131.47063665655355
44987,196.3855703364272
9298,359.68028419182946
6112,237.1587497381712
15181,182.4577861163227
8372,208.7033747779751
46067,179.74429095668842
21893,142.05414050189327
31835,383.5399384844813
40425,201.76279428611505
17926,357.4108818011257
27900,210.7293210094311
25265,293.75102895176275
26556,577.3889320068675
8357,143.73188744507806
1179,73.11414711878706
43124,208.0751876183573
1801,231.76247275795
45515,358.31989341560904
28700,572.9203414943908
13883,113.2678479108897
16355,298.54596622889306
24192,400.7620122768645
39777,219.0634278633717
43079,121.33822738643536
20071,170.2626641651032
10873,191.05137002396955
33084,544.3191350545252
38338,281.25219180324035
11069,123.1376603844527
31628,118.13775747972784
2043,205.9850490942751
41793,152.19881701073106
28331,226.48698229027025
32721,127.22527728586076
40763,180.95527552427933
34280,225.09087519806133
11015,237.8154815058514
39651,115.25962639983166
29249,329.7349420259178
44447,179.3187291048091
20427,143.93565229662033
2858,84.59681765987862
14543,193.94934333958724
15207,283.5365853658536
23294,367.3651779204591
36599,110.8175718326982
18684,352.7204502814259
30821,438.0650573212788
39095,69.20253430902672
1346,287.53544395753755
33671,266.5672476465654
21131,258.7078717749712
9377,173.880527250631
3102,113.42066412016968
5613,208.29939255707868
